organization,country
KHATER ALI DEGREE COLLEGE,Bangladesh
JHAUDIA MAHABIDDYALYA,Bangladesh
KUSTIA CITY COLLEGE,Bangladesh
SYED MAS-UD RUMI COLLEGE,Bangladesh
GORAI MOHILA COLLEGE KUSHTIA,Bangladesh
KUSTIA ISLAMIA COLLEGE,Bangladesh
KUSHTIA ADARSHA DEGREE COLLEGE,Bangladesh
SHANKARDIHA ADARSHA MAHABIDDAYALIA,Bangladesh
ALHAJ A. GHANI COLLEGE,Bangladesh
AILCHARA COLLEGE,Bangladesh
AMLA GOVT. DEGREE COLLEGE,Bangladesh
MIR ABDUL KARIM COLLEGE,Bangladesh
ABDUR RAFET BISWAS COLLEGE,Bangladesh
SAGARKHALY IDEAL COLLEGE,Bangladesh
HALSA ADARSHA DEGREE COLLEGE,Bangladesh
NIMTALA COLLEGE,Bangladesh
MIRPUR MOHILA COLLGE,Bangladesh
MIRPUR MAHMUDA CHOWDHURY COLLEGE,Bangladesh
PORADAH COLLEGE,Bangladesh
K. M. IDEAL COLLEGE,Bangladesh
HAJI NURUL ISLAM COLLEGE,Bangladesh
NAWAB SIRAJUDDOULA COLLEGE,Bangladesh
GOVT. H.S.S. COLLEGE | MAGURA,Bangladesh
MAGURA GOVT.MOHILA COLLEGE,Bangladesh
AMORESH BOSU DEGREE MOHABIDAYLAYA,Bangladesh
NAZIR AHAMAD DEGREE MAHAVIDALOY,Bangladesh
JAGDAL SAMMILONI COLLEGE,Bangladesh
HAZIPUR SAMMILANI COLLEGE,Bangladesh
MAGURA ADASHA DEGREE COLLEGE MAGURA,Bangladesh
SHATRUJITPUR COLLEGE,Bangladesh
DAKHIN NOWAPARA SAMMILANI COLLEGE,Bangladesh
BANASSREE RABINDRA SMARANI COLLEGE KRISHNABILA (TANGAKHALI),Bangladesh
BUZRUK SREE KUNDI COLLEGE,Bangladesh
AISA WOMENS COLLEGE,Bangladesh
GOVT. BIR MUKTIJODDHA ASADUZZAMAN COLLEGE,Bangladesh
BABU KHALI ADARSHA COLLEGE,Bangladesh
BINODPUR DEGREE COLLAGE,Bangladesh
AMINUR RAHMAN COLLEGE | MOHAMMADPUR,Bangladesh
KAZI SALIMA HAQUE MOHILA DEGREE COLLEGE,Bangladesh
BIHARILAL SHIKDER GOVT. MAHABIDDYALA,Bangladesh
ARPARA MOHILA COLLEGE,Bangladesh
ARPARA DEGREE COLLEGE,Bangladesh
BUNAGATI DEGREE COLLEGE,Bangladesh
HAZRAHATI SAMMILONI COLLEGE,Bangladesh
SREEPUR GOVT. DEGREE COLLEGE,Bangladesh
DARIAPUR DEGREE COLLEGE,Bangladesh
G.K IDEAL DEGREE COLLEGE,Bangladesh
NAKOL SAMMILONI DEGREE COLLEGE,Bangladesh
SREEPUR MOHILA COLLEGE,Bangladesh
GOVT. GANGNI DEGREE COLLEGE,Bangladesh
GANGNI MOHILA DEGREE COLLEGE,Bangladesh
TERAIL JORE PUKURIA COLLEGE,Bangladesh
KARAMDI COLLEGE,Bangladesh
KAZIPUR COLLEGE,Bangladesh
B N COLLEGE,Bangladesh
MORKA JAGORAN COLLEGE,Bangladesh
BIR MUKIZODDAH ABDUL GANI COLLEGE,Bangladesh
GOVT. MUJIB NAGAR DEGREE COLLEGE,Bangladesh
MAHAJANPUR MOHABIDDALOY,Bangladesh
MUJIBNAGAR ADARSHA MOHILA COLLEGE,Bangladesh
MEHERPUR GOVT COLLEGE,Bangladesh
MEHERPUR GOVT. MOHILA COLLEGE,Bangladesh
A R B DEGREE COLLEGE,Bangladesh
SOHIUDDIN DEGREE COLLEGE,Bangladesh
SHAHEED ABDUS SALAM GOVT. DEGREE COLLAGE,Bangladesh
MUNSHI MANIK MIAH COLLEGE,Bangladesh
MONORANJAN KAPURIA COLLEGE,Bangladesh
HABIBUL ALAM BIR PROTIC COLLEGE,Bangladesh
NARAGATI COLLEGE,Bangladesh
LOHAGARA GOVT. ADARASHA MAHAVIDYALAYA,Bangladesh
NABAGANGA DEGREE COLLAGE,Bangladesh
S.M.A AHAD COLEGE,Bangladesh
LAKSHMI PASHA IDEAL WOMENS DEGREE COLLAGE,Bangladesh
AMADA ADARSHA COLLEGE,Bangladesh
NARIL GOVT. VECTORIA COLLEGE,Bangladesh
NARAIL GOVT MOHILA COLLEGE,Bangladesh
MIRZAPUR UNITED COLLEGE,Bangladesh
DAKHIN NARAIL SHIMULIA COLLEGE,Bangladesh
BALLARTOP IDEAL COLLEGE,Bangladesh
GOBRA MITRA COLLEGE,Bangladesh
MAIJ PARA COLLEGE,Bangladesh
ABDUL HYE CITY COLLEGE | NARAIL,Bangladesh
ASHAR ALLO COLEGE,Bangladesh
BIRSHRESTA NUR MOHAMMAD MOHABIDDYALAY,Bangladesh
GOBRA WOMEN'S COLLEGE,Bangladesh
HABOKHALI ADRASAHO MOHABIDDALAY,Bangladesh
JURALIA BAHUMUKHY ADRASHA COLLAGE,Bangladesh
ASSASUNI DEGREE COLLEGE,Bangladesh
ASSASUNI MOHILA COLLEGE,Bangladesh
HAJI JALALUDDIN ADARSHA COLLEGE,Bangladesh
A P S DEGREE MAHABIDDALOY,Bangladesh
MOULAVI ABDUL LATIF COLLEGE,Bangladesh
BUDHATA MOHILA COLLEGE,Bangladesh
GOVT. KHAN BAHADUR AHSAN ULLAH COLLEGE,Bangladesh
DEBHATA COLLEGE,Bangladesh
HAZI KEYAMUDDIN MEMORIAL MOHILA COLLEGE,Bangladesh
KALAROA GOVT COLLEGE,Bangladesh
BOALIA MUKTI JODDAH COLLEGE,Bangladesh
CHANDANPUR UNITED COLLEGE,Bangladesh
BEGUM KHALADA ZIA COLLAGE,Bangladesh
KAZIRHAT COLLEGE,Bangladesh
SHEIKH AMANULLAH DEGREE COLLEGE,Bangladesh
HAZI NASIR UDDIN COLLEGE,Bangladesh
SONAR BANGLA DEGREE COLLAGE,Bangladesh
ENGINEER SK. MUJIBUR RAHMAN COLLEGE,Bangladesh
HABIBUL ISLAM COLLEGE,Bangladesh
KALIGANJ GOVT. COLLEGE,Bangladesh
ROKEYA MANSUR MOHILA COLLEGE,Bangladesh
SHIMU-REZA MP COLLEGE,Bangladesh
NALTA AHSHNIA MISSION RESIDENTIAL COLLEGE,Bangladesh
KATUNIA RAJBARI DEGREE COLLEGE,Bangladesh
D.R.M UNITED IDEAL COLLEGE,Bangladesh
KAZI ALAUDDIN DEGREE COLLEGE,Bangladesh
K.M.S.R ISLAMIA MOHABIDDALAYA,Bangladesh
SATKHIRA GOVERMENT MOHILA COLLEGE,Bangladesh
SATKHIRA GOVT. COLLEGE,Bangladesh
SAFURANNESA MOHILA COLLAGE,Bangladesh
SHAHID SMRITI DEGREE COLLEGE,Bangladesh
ADVOCATE ABDUR RAHMAN COLLEGE,Bangladesh
BHALUKA CHANDPUR ADARSHA COLLEGE,Bangladesh
SHIMANTA ADARSHA COLLEGE,Bangladesh
JHAUDANGA COLLEGE,Bangladesh
SATKHIRA CITY COLLEGE,Bangladesh
SATKHIRA DAY NIGHT COLLAGE (DAY),Bangladesh
AKHRAKHOLA IDEAL COLLEGE,Bangladesh
ALIPUR ADARSHA MOHILA COLLEGE,Bangladesh
ISLAMIA MAHILA COLLEGE,Bangladesh
BEER MUKTIJODDHA MIR MUSHTAQUE AHMED ADARSHA COLLEGE,Bangladesh
GAVA IDEAL COLLEGE,Bangladesh
UNITED MODEL COLLEGE,Bangladesh
M. A. GAFUR MODEL COLLEGE,Bangladesh
SATKHIRA COMMERCE COLLEGE,Bangladesh
GOVT. SHYAM NAGAR MOHSIN DEGREE COLLEGE,Bangladesh
SHYAMNAGAR ATARJAN MOHILA MAHAVIDYALAYA,Bangladesh
NOWABENKI MOHABIDDYALAY,Bangladesh
BURI GOALINI GABURA COLLEGE,Bangladesh
TALA GOVT. COLLEGE,Bangladesh
SHALIKHA COLLEGE,Bangladesh
KUMIRA MAHILA DEGREE COLLEGE,Bangladesh
PATKEL GHATA HARUN OR RASHID DEGREE COLLEGE,Bangladesh
SHUVASHINI DEGREE COLLEGE,Bangladesh
SHAHEED MUKTIJODHYA COLLEGE,Bangladesh
TALA MOHILA COLLEGE,Bangladesh
SHAHEED ZIAUR RAHMAN MOHABIDHALIOY,Bangladesh
IDEAL MOHILA COLLEGE,Bangladesh
BAKSHIGANJ GOVT.KIAMAT ULLAH COLLEGE,Bangladesh
KHATEMON MOIN MOHILA DEGREE COLLEGE,Bangladesh
ALHAZ GAZI AMANUZZAMAN MODERN COLLEGE,Bangladesh
NILAKHIA PUIBLIC COLLEGE,Bangladesh
A K MEMORIAL COLLEGE,Bangladesh
SANANDA BARI DEGREE COLLEGE,Bangladesh
BAGAR CHAR COLLEGE,Bangladesh
ESTIAK HOSSAIN DIDER WOMENS COLLEGE,Bangladesh
SAHJADPUR ABDUL WAHED ASHRAF ALI MEMORIAL COLLEGE,Bangladesh
ABDUL MOMIN LAL MIAH MOHILA COLLEGE,Bangladesh
GAZI NASIR UDDIN MEMORIAL COLLEGE,Bangladesh
ALHAJ HELALUDDIN NURUNNAHAR MEMORIAL COLLEGE,Bangladesh
M M MEMORIAL COLLEGE,Bangladesh
ENGR. FAZLUR RAHMAN MOHILA COLLEGE,Bangladesh
ISLAMPUR COLLEGE,Bangladesh
ISLAMPUR M A SAMAD PARVEZ MEMORIAL MOHILA COLLEGE,Bangladesh
SHAVARCHAR COLLEGE,Bangladesh
MOLOM GONJ MODEL COLLEGE,Bangladesh
S | N | C | ADORSHA COLLEGE,Bangladesh
GOVT. ASHEK MAHMUD COLLEGE | JAMALPUR,Bangladesh
GOVT. ZAHEDA SAFIR MOHILA COLLEGE,Bangladesh
JHAWLA GOPALPUR COLLEGE,Bangladesh
DR ABDUL MAZID TALLUKDER COLLEGE,Bangladesh
NANDINA SHEKH ANWAR HOSSAIN COLLEGE,Bangladesh
DIGPAIT SHAMSUL HAQ DEGREE COLLEGE,Bangladesh
TULSHI PUR COLLEGE,Bangladesh
MIRZAPUR RAHIM SARKER COLLEGE,Bangladesh
PROSHANTI BIGGAN COLLEGE,Bangladesh
JAMALPUR COMMERCE COLLEGE,Bangladesh
JAMALPUR RESIDENTIAL MODEL COLLEGE,Bangladesh
FUNDAMENTAL MODERNISOM COLLEGE,Bangladesh
SREEPUR KUMARIA M.H. COLLEGE,Bangladesh
WISDOM CENTRAL COLLEGE,Bangladesh
JINNATON AFSOR MOHILA COLLGE,Bangladesh
MADERGONJ A.H.Z GOVT.COLLEGE,Bangladesh
NURUNNAHA MIRZA KASEM MOHILA DEGREE COLLEGE,Bangladesh
KHAJA SHAH SUFI YOUNUS ALI COLLEGE,Bangladesh
MAHMUDA BARRISTER ABDUS SALAM TALUKDER MOHILA B M COLLEGE,Bangladesh
BARISTER ABDUS SALAM TALUKDER COLLEGE,Bangladesh
MIRZA AZAM COLLEGE,Bangladesh
MELANDAHA GOVT.COLLEGE,Bangladesh
HAZRABARI SIRAJUL HAQUE DEGREE COLLEGE,Bangladesh
BANGABANDHU COLLEGE | JHAWGARA,Bangladesh
SHEIKH KAMAL COLLEGE,Bangladesh
HABIBUR RAHMAN COLLEGE,Bangladesh
JAHANARA LATIF MOHILA COLLEGE,Bangladesh
ALEYA AZAM COLLEGE,Bangladesh
S. M. SHEKHA MUKHLESUR RAHMAN COLLEGE,Bangladesh
SUJAT ALI COLLEGE PINGNA,Bangladesh
SARISABARI COLLEGE,Bangladesh
SHARISABARI MAHMUDA SALAM MOHILA COLLEGE,Bangladesh
POGALDIGHA COLLEGE,Bangladesh
SHANAKOIR IDEAL COLLEGE,Bangladesh
ADVOCATE MOTIOR RAHMAN TALUKDER COLLEGE,Bangladesh
BHALUKA DEGREE COLLEGE,Bangladesh
BIRUNIA SADAR ALI SARKER MEMORIAL MOHILA COLLEGE,Bangladesh
MORNING SUN MODEL COLLEGE,Bangladesh
BHALUKA MODEL GIRLS COLLEGE,Bangladesh
BHALUKA IDEAL COLLEGE,Bangladesh
SHAHID SRITY BM COLLEGE,Bangladesh
HOBIRBARI GENERAL COLLEGE,Bangladesh
DHOBAURA ADARSA COLLEGE,Bangladesh
DHOBAURA MAHILA COLLEGE,Bangladesh
PORAKANDULIA COLLEGE,Bangladesh
BEGUM FAJILATUNNESA MUJIB MOHILA COLLEGE,Bangladesh
SHAHABUDDIN COLLEGE,Bangladesh
FULBARIA COLLEGE,Bangladesh
FULBARIA MOHILA COLLEGE,Bangladesh
KESHORGANJ COLLEGE,Bangladesh
JANATA MAHABIDYALAY,Bangladesh
AKHTAR SULTANA MOHILA COLLEGE,Bangladesh
ALHAJ MOBARAK KHAN COLLEGE,Bangladesh
ISLAMIA COLLEGE,Bangladesh
FULBARIA ROYAL COLLEGE,Bangladesh
TRISHAL FULBARIA MAITRY COLLEGE,Bangladesh
GAFFARGAON GOVT COLLEGE,Bangladesh
ALTAF GOLONDAZ COLLEGE,Bangladesh
GAFARGAON MOHILA COLLEGE,Bangladesh
ABDUR RAHMAN DEGREE COLLEGE,Bangladesh
KAORAID GOYESHPUR COLLEGE,Bangladesh
HURMAT ULLAH COLLEGE,Bangladesh
MOZIBUR RAHMAN COLLEGE,Bangladesh
CAPTAIN (RETD) GIASUDDIN AHMED COLLEGE,Bangladesh
ADVOCATE SHAHAB UDDIN COLLEGE,Bangladesh
WRANGLER KIRON DEY MODEL COLLEGE,Bangladesh
GOURYPUR GOVT.COLLEGE,Bangladesh
GOURIPUR MOHILA COLLEGE,Bangladesh
GOURIPUR PUBLIC COLLEGE,Bangladesh
HALUAGHAT SHAHID SMRITE GOVT. DEGREE COLLEGE,Bangladesh
DHARA ADARSHA DEGREE COLLEGE,Bangladesh
HALUAGHAT ADARSHA MOHILA COLLEGE,Bangladesh
ISHWERGONG GOVT. DEGREE COLLEGE,Bangladesh
ATHARA BARI DEGREE COOLLEGE,Bangladesh
ISHWARGANJ IDEAL COLLEGE,Bangladesh
ISHWARGANJ RESIDENTIAL MODEL COLLEGE,Bangladesh
ANANDA MOHAN GOVT. COLLEGE,Bangladesh
GOVT. MUMINUNNISA MOHILA COLLEGE,Bangladesh
MYMENSINGH GOVT. COLLEGE,Bangladesh
HAJI KASHEM ALI COLLEGE,Bangladesh
AGRICULTURAL UNIVERSITY COLLEGE,Bangladesh
ALAMGIR MONSUR (MINTO)MEMORIAL COLLEGE,Bangladesh
MYMENSINGH MOHILA COLLEGE,Bangladesh
MYMENSINGH COLLEGE,Bangladesh
SHAHID SYED NAZRUL ISLAM COLLEGE,Bangladesh
NASIRABAD COLLEGE,Bangladesh
SHAMBHUGONJ GKP COLLEGE,Bangladesh
AMBIKA GONJ COLLEGE,Bangladesh
NOTRE DAME COLLEGE MYMENSINGH,Bangladesh
FAKIR SOHRAB ALI COLLEGE,Bangladesh
D.K.G.S.UNITED COLLEGE,Bangladesh
B.K.B COLLEGE,Bangladesh
MYMENSINGH CENTRAL COLLEGE,Bangladesh
COLLEGE OF BUSINESS SCIENCE & TECHNOLOGY,Bangladesh
MYMENSINGH COMMERCE COLLEGE,Bangladesh
MOMENSHAHI MOHILA MANOBIK COLLEGE,Bangladesh
FLUORES COLLEGE,Bangladesh
BRAHMAPUTRA RESIDENTIAL MODEL COLLEGE,Bangladesh
ROYAL MIDIA COLLEGE,Bangladesh
MYMENSINGH IDEAL COLLEGE,Bangladesh
MYMENSINGH CITY COLLEGE,Bangladesh
ADVANSED RESIDENTIAL MODEL COLEGE,Bangladesh
PRIME CENTRAL COLLEGE,Bangladesh
SHAHID SMRITI GOVT. COLLEGE,Bangladesh
GABTOLI DEGREE COLLEGE,Bangladesh
HAZI KASHEM ALI MOHELA COLLEGE,Bangladesh
PRINCIPAL PARVIN ZAKIR COLLEGE,Bangladesh
BABAR RABEYA NAGAR COLLEGE,Bangladesh
BINODBARI IDEAL COLLEGE,Bangladesh
SHAHID SMRITI ADARSHA COLLEGE,Bangladesh
KHURRAM KHAN CHOWDHURY DEGREE COLLEGE,Bangladesh
ANWARUL HOSSAIN KHAN CHOWDHURY MAHILA COLLEGE,Bangladesh
MUSHULI COLLEGE,Bangladesh
SAMURTA JHAN MOHILA COLLEGE,Bangladesh
ADVOCATE ABDUL HAI COLLEGE,Bangladesh
PHULPUR DEGREE GOLLEGE,Bangladesh
HOSSAINPUR COLLEGE,Bangladesh
FULPUR MOHILA DEGREE COLLEGE,Bangladesh
BOWLA COLLEGE,Bangladesh
BANGABANDHU DEGREE COLLEGE,Bangladesh
N. ISLAMIA ACADEMY COLLEGE,Bangladesh
BAKSHIMUL COLLEGE,Bangladesh
VASHA SAINIK SHAMSUL HAQUE COLLEGE,Bangladesh
SHEIKH MUJIB COLLEGE,Bangladesh
FAZLUL HAQUE CHOUDHURY MOHILA COLLEGE,Bangladesh
H.A. DIGITAL COLLEGE,Bangladesh
NAZRUL COLLEGE TRISHAL,Bangladesh
BHALUKA TRISHAL MAITRY COLLEGE,Bangladesh
HAJI CHERAG ALI COLLEGE,Bangladesh
TRISHAL MOHILA COLLEGE,Bangladesh
AULIANAGAR COLLEGE,Bangladesh
MOKSHAPUR COLLEGE,Bangladesh
TRISHAL IDEAL COLLEGE,Bangladesh
TELIGATI GOVT. COLLEGE,Bangladesh
ATPARA COLLEGE,Bangladesh
THE WESTERN COLLEGE,Bangladesh
BARHATTA COLLEGE,Bangladesh
FAQUIR ASHRAF COLLEGE,Bangladesh
SUSANG GOVT. COLLEGE,Bangladesh
DURGAOUR MOHALA COLLEGE,Bangladesh
ALHAJ MAFIZ TALUKDER COLLEGE,Bangladesh
DON BOSCO COLLEGE,Bangladesh
KRISHNAPUR HAZI ALI AKBAR PUBLIC DEGREE COLLEGE,Bangladesh
KHALIAJURI COLLEGE,Bangladesh
KALMA KANDA DEGREE COLLEGE,Bangladesh
ABDUL JABBAR ANSARI MEMORIAL COLLEGE,Bangladesh
ADDHAPAK ABU TAHER KHAN COLLEGE,Bangladesh
KALMA KANDA MAHILA COLLEGE,Bangladesh
KENDUA DEGREE COLLEGE,Bangladesh
GONDA COLLEGE,Bangladesh
JANATA ADARSHA MOHABIDYALAY,Bangladesh
GOPALPUR MODEL COLLEGE,Bangladesh
PERVIN SIRAZ MOHILA COLLEGE,Bangladesh
MOULANA MOHAMMAD ALI SIDDIQUI COLLEGE,Bangladesh
GOVT. HAZI ABDUL AZIZ KHAN DEGREE COLLEGE,Bangladesh
JOBAIDA RAHMAN MOHILA COLLEGE,Bangladesh
BALALI BAGHMARA SHAJAHAN COLLEGE,Bangladesh
GOVT. MOHANGANJ COLLEGE,Bangladesh
SHAHID SMRITI COLLEGE,Bangladesh
MOHANGONJ MOHILA COLLEGE,Bangladesh
NETRAKONA GOVT COLLEGE,Bangladesh
GOVT NETROKONA MOHILA COLLEGE,Bangladesh
SHAH SULTAN (R) DEGREE COLLEGE,Bangladesh
ABU ABBAS DEGREE COLLEGE,Bangladesh
CHANDRANATH COLLEGE,Bangladesh
HENA ISLAM COLLEGE,Bangladesh
NETRAKONA PUBLIC COLLEGE,Bangladesh
PURBADHALA DEGREE COLLEGE,Bangladesh
HAFEZ ZIAUR RAHMAN DEGREE COLLEGE,Bangladesh
JOTIABOR COLEGE,Bangladesh
RABEYA ALI MOHILA DEGREE COLLEGE,Bangladesh
ADARSHA COLLEGE,Bangladesh
ALHAJ SHAFIUDDIN AHMED COLLEGE,Bangladesh
JHENAIGATI MAHILA ADARSHA DEGREE COLLEGE,Bangladesh
SIMANTA MODEL COLLEGE,Bangladesh
ALHAZ HAZERA AKTARUZZAMAN COLLEGE,Bangladesh
BISHNOPUR KHANDAKAR BARI COLLEGE,Bangladesh
HAZI JAL MAMUD COLLEGE,Bangladesh
CHANDRAKONA COLLEGE,Bangladesh
CHOWDHERY SABARUN NNESA MAHILA DEGREE COLLEGE,Bangladesh
NAZMUL SMRITI MOHABIDDYALAYA,Bangladesh
NALITABARI SHAHID ABDUR RASHID MOHILA COLLEGE,Bangladesh
SHAHID MUKTIJODDA COLLEGE,Bangladesh
HAJI NURUL HAQUE NONNI PORAGAON MOITRY COLLEGE,Bangladesh
SHERPUR GOVT. COLLEGE | SHERPUR,Bangladesh
SHERPUR GOVT MOHILA COLLEGE,Bangladesh
KAMARAR CHAR COLLEGE,Bangladesh
BEER MUKTIJODDA ATIUR RAHMAN MODEL COLLEGE,Bangladesh
JAMSAD ALI MEMORIAL COLLEGE,Bangladesh
DR. SEKANDER ALI COLLEGE,Bangladesh
MODEL GIRLS COLLEGE | SHERPUR,Bangladesh
NIZAM UDDIN AHMED MODEL COLLEGE,Bangladesh
SANUWER HOSEN MODEL COLLEGE,Bangladesh
SHERPUR BIGGAN COLLEGE,Bangladesh
SHAHID ABDUR RASHID COMMERCE COLLEGE,Bangladesh
GOVT. SREEBORDI COLLEGE,Bangladesh
AISHA AYEN UDDIN MOHILA COLLEGE,Bangladesh
KAKILAKURA MALEKUNNESA HAZRAT ALI COLLEGE,Bangladesh
SANTAHAR GOVT. COLLEGE BOGRA,Bangladesh
ADAMDIGHI RAHIM UDDIN DEGREE COLLEGE,Bangladesh
HAZI TASER AHMMED WOMENS COOLEGE,Bangladesh
JALAL UDDIN AHMED COLLEGE,Bangladesh
NASRATPUR DEGREE COLLEGE,Bangladesh
SHAHID AHSANUL HAQUE DEGREE COLLEGE,Bangladesh
SANTAHAR WOMEN'S COLLEGE,Bangladesh
BOGRA GOVERNMENT COLLEGE,Bangladesh
GOVT.AZIZUL HAQUE COLLEGE | BOGRA,Bangladesh
GOVT. SHAH SULTAN COLLEGE,Bangladesh
GOVERNMENT MUJIBUR RAHMAN WOMEN'S COLLEGE BOGRA,Bangladesh
ADARSHA MOHABIDDYALAYA | BOGRA,Bangladesh
BOGRA WOMENS COLLEGE,Bangladesh
BOGRA COLLEGE,Bangladesh
NAMUZA DEGREE COLLEGE,Bangladesh
JAHIDUR RAHMAN WOEMEN'S COLLEGE,Bangladesh
THENGAMARA ANSAR HOSNEARA NIGHT COLLEGE,Bangladesh
NOON GOLA DEGREE COLLAGI,Bangladesh
JANATA COLLAGE,Bangladesh
HAJI MUHAMMAD JOYNAL ABEDIN COMMERCE COLLEGE,Bangladesh
KAZI NURUL HAJI MOYEZ UDDIN COLLEGE | BOGRA,Bangladesh
DHUNAT DEGREE COLLEGE,Bangladesh
DHUNAT MOHILA COLLEGE,Bangladesh
GOSHAI BARI DEGREE COLLEGE,Bangladesh
G.M.C DEGREE COLLEGE | BOGRA,Bangladesh
SONAHATA DEGREE COLLEGE,Bangladesh
JALSUKA HABIBUR RAHMAN COLLEGE,Bangladesh
BILCHAPRI IDEAL COLLEGE,Bangladesh
BISWAHORIGACHA BOHALGACHA MULTILATERAL COLLEGE,Bangladesh
GOSSAIN BARI WOMENS COLLEGE,Bangladesh
SHAHID M MONSUR ALI GOVT. DEGREE COLLEGE,Bangladesh
GOVT.SHAH EYTE BARIA COLLEGE,Bangladesh
DUPCHANCHIA J.K. DEGREE COLLEGE,Bangladesh
DUPCHANCHIA MAHILA COLLEGE,Bangladesh
MARTUZAPUR COLLEGE,Bangladesh
BORO NILAHALI BERAGRAM COLLEGE,Bangladesh
GABTALI GOVT. COLLEGE,Bangladesh
SHAHID ZIA DEGREE COLLEGE | BAGBARI BOGRA,Bangladesh
TARANIR HAT DEGREE COLLEGE,Bangladesh
DURGAHATTA DEGREE COLLEGE,Bangladesh
SHAHID ZIA MODEL COLLEGE,Bangladesh
GABTALI WOMENS COLLEGE,Bangladesh
TASLIM UDDIN TARAFDER DEGREE COLLEGE,Bangladesh
SYED AHMMED COLLEGE SUKHANPUKUR BOGRA,Bangladesh
BAGBARI MOHILLA COLLEGE,Bangladesh
BAGBARI MODEL MOHILA COLLEGE,Bangladesh
KAHALOO DEGREE COLLEGE,Bangladesh
AZIZUL HAQUE MEMORIAL DEGREE COLLEGE,Bangladesh
KAHALOO ADARSHA WOMENS DERGEE COLLEGE,Bangladesh
DARGAHAT DEGREE COLLEGE,Bangladesh
DURGAPUR IDEAL WOMEN'S COLLEGE,Bangladesh
GOVT. NANDIGRAM MOHILLA DEGREE COLLEGE,Bangladesh
NIMAI DIGHI ADARSHA COLLEGE,Bangladesh
HAT KARAI DEGREE COLLEGE,Bangladesh
NANDIGRAM MONSUR HOSSAIN DEGREE COLLEGE,Bangladesh
SHARIAKANDI ABDUL MANNAN MOHILA COLLEGE,Bangladesh
CHANDAN BAISHA DEGREE COLLEGE,Bangladesh
GANAKPARA COLLEEGE,Bangladesh
CHHAIHATA DEGREE COLLEGE,Bangladesh
SHARIAKANDI DEGREE COLLEGE,Bangladesh
JOREGACHHA MODEL MOHILA COLLEGE,Bangladesh
NIZBOLAIL EN COLLEGE,Bangladesh
KAMAR UDDIN ISLAMIA COLLEGE,Bangladesh
DUBLAGARI DEGREE COLLEGE,Bangladesh
MAJHIRA B M COLLEGE,Bangladesh
SHERPUR COLLEGE,Bangladesh
JAMUR ISLAMIA COLLEGE,Bangladesh
JOYLA JUAN DEGREE COLLEGE,Bangladesh
SHERPUR TOWN CLUB PUBLIC MOHILA COLLEGE,Bangladesh
RAHIMA NAWASHER ALI DEGREE COLLEGE,Bangladesh
SIMABARI WOMENS COLLEGE,Bangladesh
SHIBGONJ M.H. COLLEGE,Bangladesh
MOIDANHATTA MOSHARRAF MONDAL COLLEGE,Bangladesh
MOHASTHAN MAHI SAWAR DEGREE COLLEGE,Bangladesh
MOKAMTALA WOMENS DEGRE COLLEGE,Bangladesh
CHOWDHURY ADARSHA WOMENS COLLEGE,Bangladesh
PIROB UNITED DEGREE COLLEGE,Bangladesh
AL HAJ RAHMAT ULLAH COLLEGE,Bangladesh
KICHOK TECHNICAL & B. M. COLLEGE,Bangladesh
GOVT.NAZIR AKHTAR COLLEGE,Bangladesh
BALUA HAT DEGRE COLLEGE,Bangladesh
DR. ENAMUL HAQUE COLLEGE,Bangladesh
SONATALA BEGUM FAZILATUNNESA MUJIB WOMEN'S COLLEGE,Bangladesh
AKKELPUR MUJIBAR RAHMAN COLLEGE | AKKELPUR,Bangladesh
AKKELPUR WOMEN'S DEGREE COLLEGE,Bangladesh
JAMAL GONG COLLEGE,Bangladesh
TILOKKPUR MOHABIDDALAY,Bangladesh
NURNAGAR UNITED DEGREE COLLEGE,Bangladesh
JOYPURHAT GOVT.MOHILA COLLEGE,Bangladesh
GOVT. JOYPURHAT COLLEGE,Bangladesh
AMDAI UNITED DEGREE COLLEGE,Bangladesh
JOYPURHAT SHAHID ZIA COLLEGE,Bangladesh
JOYPURHAT WOMENS DEGREE COLLEGE,Bangladesh
MONGAL BARI MOYEZ MEMORIAL COLLEGE,Bangladesh
SHALPARA IDEAL COLLEGE,Bangladesh
VADSHA IDEAL COLLEGE,Bangladesh
JOYPURHAT NIGHT COLLEGE,Bangladesh
KALAI WOMEN'S DEGREE COLLEGE,Bangladesh
KALAI DEGREE COLLEGE,Bangladesh
NANDIAL DIGHI COLLEGE,Bangladesh
MATRAI MODEL COLLEGE,Bangladesh
MOLAMGARY ADARSHA COLLEGE,Bangladesh
KHETLAL SYEED ALTAFUNNESA COLLEGE,Bangladesh
MOHIPUR GOVT. HAZI MUHSIN COLLEGE | PANCHBIBI,Bangladesh
PANCHBIBI WOMENS COLLEGE,Bangladesh
PANCH BIBI DEGREE COLLEGE,Bangladesh
SARAIL ADARSHA COLLEGE,Bangladesh
SHIROTTI COLLEGE,Bangladesh
RATANPUR COLLEGE,Bangladesh
MOLLAH AZAD MEMORIAL COLLEGE,Bangladesh
ATRAI WOMENS COLLEGE,Bangladesh
BANDAI KHARA DEGREE COLLEGE,Bangladesh
PAIKARA BARAIKURI COLLEGE,Bangladesh
BARA SIMLA MOHILA COLLEGE,Bangladesh
BANGABANDHU GOVT.COLLEGE,Bangladesh
BADLAGACHI WOMEN'S COLLEGE,Bangladesh
